hit_species	chr	start	end	strand	identity
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	426	1054	-	0.674
GCF_000003205.7_Btau_5.0.1_genomic	NC_007312.6	612095	612744	+	1.000
GCF_000003625.3_OryCun2.0_genomic	NW_003159828.1	69323	69731	-	0.536
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005482900.1	482	1131	-	0.762
GCF_000298355.1_BosGru_v2.0_genomic	NW_005394570.1	12884	13516	+	0.816
GCF_000223135.1_CriGri_1.0_genomic	NW_003661711.1	1	545	+	0.647
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	76255583	76256044	+	0.652
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011483787.1	7849	8465	-	0.795
GCF_000002335.3_Tcas5.2_genomic	NW_015450579.1	790	1440	+	0.705
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	22184726	22185373	-	0.506
