hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	269108	269528	-	0.546
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	612	1303	+	0.637
GCF_000003205.7_Btau_5.0.1_genomic	NW_014649290.1	937	1591	+	1.000
GCF_000146795.2_Nleu_3.0_genomic	NC_019833.1	857368	857740	-	0.529
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005541655.1	332	1015	+	0.774
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395352.1	13316	14030	+	0.845
GCF_000223135.1_CriGri_1.0_genomic	NW_003661711.1	188	570	-	0.716
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032675.1	204129	204964	+	0.542
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011484590.1	3998	4707	-	0.751
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	959	1405	+	0.721
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	2167158	2167575	+	0.574
