hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018334958.1	200476	200731	-	0.589
GCF_000500345.1_Pman_1.0_genomic	NW_006501456.1	2356995	2357166	+	0.522
GCF_000264685.3_Panu_3.0_genomic	NC_018164.2	2594282	2594448	+	0.626
GCF_000003205.7_Btau_5.0.1_genomic	NC_007318.6	35075111	35075369	+	0.990
GCF_001704415.1_ARS1_genomic	NC_030830.1	8000785	8001052	-	0.558
GCF_000400835.1_PHO1.0_genomic	NW_005809433.1	657073	657267	-	0.580
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784288.1	1472576	1472812	+	0.678
GCF_000298355.1_BosGru_v2.0_genomic	NW_005396141.1	124599	124821	+	0.641
GCF_000298735.2_Oar_v4.0_genomic	NC_019481.2	20514794	20514985	-	0.561
GCF_000493695.1_BalAcu1.0_genomic	NW_006729901.1	2153204	2153414	+	0.678
GCF_000686985.2_Bra_napus_v2.0_genomic	NC_027771.2	25647855	25648032	-	0.736
GCF_000987745.1_ASM98774v1_genomic	NW_015965756.1	3642	3879	+	0.739
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032669.1	37150931	37151189	+	0.996
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495061.1	5218352	5218703	-	0.503
GCF_000765115.1_Oori1_genomic	NW_011942509.1	1632323	1632554	-	0.500
