hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018341553.1	412245	412572	+	0.893
GCF_000003205.7_Btau_5.0.1_genomic	NC_007304.6	109980050	109980380	+	1.000
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NW_003189131.1	542	842	-	0.747
GCF_000400835.1_PHO1.0_genomic	NW_005817356.1	464984	465311	-	0.934
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344052.1	3829555	3829909	+	0.652
GCF_000648675.1_Clec_1.0_genomic	NW_014465064.1	2789616	2789947	+	0.733
GCF_000298735.2_Oar_v4.0_genomic	NC_019460.2	100825001	100825330	-	0.936
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013658375.1	588028	588359	-	0.733
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011487815.1	61834	62124	+	0.552
GCF_000186305.1_Python_molurus_bivittatus-5.0.2_genomic	NW_006534740.1	691	1021	+	0.723
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015080413.1	1	326	-	0.969
GCF_001704415.1_ARS1_genomic	NC_030815.1	3497220	3497549	+	0.925
GCF_001447785.1_Gekko_japonicus_V1.1_genomic	NW_015166450.1	384920	385163	+	0.721
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785255.1	941776	942104	+	0.866
GCF_000002295.2_MonDom5_genomic	NC_008801.1	654478255	654478581	-	0.692
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393748.1	258043	258386	-	0.815
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032655.1	118771468	118771798	+	0.997
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003846768.1	528921	529248	+	0.660
GCF_000765115.1_Oori1_genomic	NW_011942750.1	103365	103694	+	0.928
