hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018337842.1	2216791	2217002	-	0.657
GCF_000003205.7_Btau_5.0.1_genomic	NC_007327.6	822667	822896	-	0.984
GCF_001704415.1_ARS1_genomic	NC_030833.1	50904781	50905016	-	0.836
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NW_003195537.1	3778	3997	-	0.700
GCF_000400835.1_PHO1.0_genomic	NW_005818474.1	572080	572329	+	0.774
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785411.1	337370	337605	-	0.929
GCF_000981445.1_Bbig001_genomic	NW_012237382.1	1381	1601	-	0.732
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393288.1	52215	52446	-	0.969
GCF_000298735.2_Oar_v4.0_genomic	NC_019479.2	50364505	50364752	+	0.818
GCF_000001545.4_P_pygmaeus_2.0.2_genomic	NW_002986906.1	28	230	-	0.730
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032675.1	51577624	51577853	+	0.999
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011479271.1	454	684	+	0.974
GCF_000765115.1_Oori1_genomic	NW_011942239.1	14377609	14377856	-	0.818
