hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018334898.1	36375	36570	-	0.763
GCF_000003205.7_Btau_5.0.1_genomic	NC_007314.5	25635624	25635836	-	0.664
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NW_003194813.1	875	1078	-	0.723
GCF_000400835.1_PHO1.0_genomic	NW_005810797.1	1461429	1461633	+	0.769
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344091.1	5067192	5067401	-	0.692
GCF_000648675.1_Clec_1.0_genomic	NW_014465089.1	1986651	1986860	+	0.721
GCF_000298735.2_Oar_v4.0_genomic	NC_019458.2	270983129	270983337	+	0.666
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013660564.1	56690	56892	-	0.793
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494861.1	7752848	7753060	-	0.664
GCF_000242695.1_LepOcu1_genomic	NC_023181.1	11230946	11231149	-	0.710
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015034170.1	317	524	-	0.587
GCF_001515645.1_SAMN03320097.WGS_v1.1_genomic	NW_015505447.1	1732519	1732728	-	0.724
GCF_001704415.1_ARS1_genomic	NC_030813.1	62234477	62234679	-	0.733
GCF_000002295.2_MonDom5_genomic	NC_008802.1	160946110	160946311	-	0.680
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393220.1	1842990	1843202	+	0.668
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015388762.1	78871	79081	+	0.761
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032673.1	6806391	6806595	-	0.749
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003816731.1	2004651	2004848	+	0.692
GCF_000951615.1_common_carp_genome_genomic	NW_017539629.1	23865	24073	-	0.745
