hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018334812.1	223623	223864	-	0.848
GCF_000003205.7_Btau_5.0.1_genomic	NC_007316.6	63972605	63972852	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030825.1	64981889	64982080	+	0.645
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NW_003195537.1	3780	3981	-	0.747
GCF_000400835.1_PHO1.0_genomic	NW_005805083.1	1165709	1165899	-	0.629
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005782096.1	46911	47160	+	0.918
GCF_000981445.1_Bbig001_genomic	NW_012237382.1	1394	1588	-	0.765
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393287.1	7711	7960	+	0.732
GCF_000298735.2_Oar_v4.0_genomic	NC_019471.2	60338419	60338615	+	0.629
GCF_000001545.4_P_pygmaeus_2.0.2_genomic	NW_002986906.1	28	216	-	0.762
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032667.1	63586558	63586805	+	0.994
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011490999.1	19864	20113	+	0.980
GCF_000765115.1_Oori1_genomic	NW_011944124.1	76538	76734	+	0.626
