hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018336039.1	140374	140599	-	0.576
GCF_000003205.7_Btau_5.0.1_genomic	NC_007326.6	27653145	27653369	+	0.993
GCF_001704415.1_ARS1_genomic	NC_030835.1	43631470	43631649	-	0.648
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NW_003195537.1	3766	3978	-	0.704
GCF_000400835.1_PHO1.0_genomic	NW_005809633.1	2877841	2878018	-	0.661
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785395.1	3077060	3077277	-	0.780
GCF_000981445.1_Bbig001_genomic	NW_012237382.1	1398	1584	-	0.709
GCF_000298355.1_BosGru_v2.0_genomic	NW_005392856.1	209445	209670	-	0.990
GCF_000298735.2_Oar_v4.0_genomic	NC_019466.2	72095789	72095992	-	0.594
GCF_000001545.4_P_pygmaeus_2.0.2_genomic	NW_002986906.1	3615	3774	-	0.576
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032674.1	29058627	29058851	+	0.856
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494644.1	12088398	12088619	+	0.681
GCF_000765115.1_Oori1_genomic	NW_011942359.1	1693167	1693370	+	0.594
