hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018343886.1	287128	287344	+	0.826
GCF_000003205.7_Btau_5.0.1_genomic	NC_007326.6	714692	714909	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030811.1	4032537	4032746	+	0.588
GCF_000400835.1_PHO1.0_genomic	NW_005815585.1	4144140	4144298	+	0.517
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785829.1	1670962	1671150	-	0.553
GCF_000298355.1_BosGru_v2.0_genomic	NW_005392842.1	713744	713896	-	0.686
GCF_000298735.2_Oar_v4.0_genomic	NC_019476.2	653545	653759	-	0.554
GCF_000686985.2_Bra_napus_v2.0_genomic	NC_027771.2	18496499	18496718	+	0.722
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032674.1	1165636	1165853	+	0.990
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011476062.1	36554	36718	-	0.740
GCF_000765115.1_Oori1_genomic	NW_011942604.1	1647306	1647498	+	0.581
