hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018331873.1	425883	426108	+	0.886
GCF_000003205.7_Btau_5.0.1_genomic	NC_007314.5	72824520	72824743	+	0.999
GCF_001704415.1_ARS1_genomic	NC_030823.1	69321211	69321434	+	0.920
GCF_000400835.1_PHO1.0_genomic	NW_005810542.1	7576930	7577153	-	0.854
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784580.1	587281	587503	-	0.930
GCF_000002295.2_MonDom5_genomic	NC_008803.1	138393955	138394065	-	0.607
GCF_000981445.1_Bbig001_genomic	NW_012237382.1	1281	1499	+	0.761
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393003.1	418163	418379	+	0.865
GCF_000298735.2_Oar_v4.0_genomic	NC_019469.2	68729894	68730117	+	0.922
GCF_000001545.4_P_pygmaeus_2.0.2_genomic	NW_002986906.1	3568	3747	+	0.721
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032665.1	68589750	68589973	+	1.000
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494894.1	8326970	8327140	-	0.749
GCF_000765115.1_Oori1_genomic	NW_011942293.1	3528642	3528865	+	0.920
