hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018334937.1	155951	156237	-	0.769
GCF_000003205.7_Btau_5.0.1_genomic	NC_007299.6	113043476	113043761	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030834.1	39339812	39340107	-	0.611
GCF_000400835.1_PHO1.0_genomic	NW_005816727.1	183735	184036	-	0.571
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785781.1	1505164	1505421	-	0.853
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393773.1	642290	642604	+	0.847
GCF_000298735.2_Oar_v4.0_genomic	NC_019465.2	88226688	88226928	+	0.544
GCF_000987745.1_ASM98774v1_genomic	NW_015964068.1	6058	6349	+	0.741
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032650.1	113955293	113955578	+	0.999
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494779.1	250573	250822	+	0.834
GCF_000765115.1_Oori1_genomic	NW_011942765.1	456813	457069	-	0.568
