hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	268920	269487	-	0.669
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	681	1417	+	0.682
GCF_000001895.5_Rnor_6.0_genomic	NC_005105.4	12263108	12263732	+	0.515
GCF_000003205.7_Btau_5.0.1_genomic	NC_007313.6	78322205	78322963	+	1.000
GCF_000151885.1_Dord_2.0_genomic	NW_012267274.1	9263640	9264240	-	0.562
GCF_000146795.2_Nleu_3.0_genomic	NC_019833.1	863974	864526	-	0.524
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005688377.1	1529	2286	+	0.782
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395818.1	16825	17616	+	0.877
GCF_000002265.2_Rn_Celera_genomic	AC_000074.1	132886887	132887511	-	0.515
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	382005	382657	-	0.554
GCF_000223135.1_CriGri_1.0_genomic	NW_003661711.1	2	570	-	0.590
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	34000320	34001046	-	0.627
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011482922.1	18798	19556	-	0.991
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	2167080	2167794	+	0.518
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	16	766	+	0.712
