hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018337287.1	1349861	1350069	-	0.853
GCF_000003205.7_Btau_5.0.1_genomic	NC_007302.6	3710997	3711205	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030811.1	4004467	4004681	-	0.825
GCF_000400835.1_PHO1.0_genomic	NW_005807716.1	1011880	1012074	-	0.686
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784288.1	1944273	1944489	-	0.669
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393133.1	1468016	1468208	+	0.684
GCF_000298735.2_Oar_v4.0_genomic	NC_019459.2	199238410	199238612	-	0.699
GCF_000686985.2_Bra_napus_v2.0_genomic	NC_027771.2	18496482	18496690	+	0.715
GCF_000987745.1_ASM98774v1_genomic	NW_015965589.1	4653	4845	-	0.714
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032653.1	3710970	3711178	+	0.993
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494702.1	1857658	1857846	-	0.804
GCF_000765115.1_Oori1_genomic	NW_011942582.1	245814	245975	+	0.529
