hit_species	chr	start	end	strand	identity
GCF_000409795.2_Chlorocebus_sabeus_1.1_genomic	NC_023644.1	923162	923609	-	0.581
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018333095.1	129422	129736	+	0.777
GCF_000004195.3_Xenopus_tropicalis_v9.1_genomic	NW_016683896.1	32805	33244	+	0.715
GCF_000264685.3_Panu_3.0_genomic	NC_018168.2	978604	979057	-	0.606
GCF_000003205.7_Btau_5.0.1_genomic	NC_007314.5	49554176	49554623	+	0.999
GCF_000151885.1_Dord_2.0_genomic	NW_012267334.1	167514	167953	+	0.705
GCF_000003625.3_OryCun2.0_genomic	NW_003159573.1	223305	223766	-	0.567
GCF_000165445.2_Mmur_3.0_genomic	NC_033665.1	112029135	112029541	-	0.580
GCF_000298355.1_BosGru_v2.0_genomic	NW_005394193.1	115277	115744	-	0.889
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495075.1	269920	270387	+	0.911
GCF_000164805.1_Tarsius_syrichta-2.0.1_genomic	NW_007253211.1	468913	469373	-	0.576
