hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018337820.1	1391270	1391513	+	0.687
GCF_000772875.2_Mmul_8.0.1_genomic	NW_014966713.1	1176	1317	-	0.715
GCF_000003205.7_Btau_5.0.1_genomic	NC_007319.6	3702948	3703137	-	0.810
GCF_001704415.1_ARS1_genomic	NC_030831.1	42054139	42054383	+	0.898
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NW_003195537.1	3791	3980	-	0.780
GCF_000400835.1_PHO1.0_genomic	NW_005810566.1	2372818	2373056	-	0.711
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785826.1	2425497	2425684	-	0.769
GCF_000981445.1_Bbig001_genomic	NW_012237382.1	729	953	+	0.745
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393959.1	1772326	1772549	-	0.663
GCF_000298735.2_Oar_v4.0_genomic	NC_019470.2	67828462	67828637	+	0.660
GCF_000001545.4_P_pygmaeus_2.0.2_genomic	NW_002986906.1	28	214	-	0.751
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032673.1	43274098	43274397	+	0.626
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494942.1	9557190	9557379	-	0.807
GCF_000765115.1_Oori1_genomic	NW_011942259.1	5731706	5731881	-	0.660
