hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	1135607	1136171	+	0.586
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	106	1289	-	0.674
GCF_000003205.7_Btau_5.0.1_genomic	NW_014648310.1	560	1556	+	0.956
GCF_000146795.2_Nleu_3.0_genomic	NC_019833.1	104021922	104022836	+	0.582
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005692783.1	209	1197	+	0.761
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	49916	50644	+	0.583
GCF_000298355.1_BosGru_v2.0_genomic	NW_005405828.1	69	1086	-	0.799
GCF_000223135.1_CriGri_1.0_genomic	NW_003662167.1	1	564	+	0.604
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	76255597	76256374	+	0.628
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011472034.1	7710	8701	-	0.784
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	28	1028	-	0.768
