hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018334997.1	351033	351408	+	0.671
GCF_000935625.1_ASM93562v1_genomic	NW_017311925.1	2940	3290	+	0.703
GCF_000001895.5_Rnor_6.0_genomic	NC_005100.4	207941883	207942141	+	0.559
GCF_000003205.7_Btau_5.0.1_genomic	NC_007305.6	44395002	44395375	+	1.000
GCF_001704415.1_ARS1_genomic	NW_017190085.1	77807	78205	-	0.687
GCF_000400835.1_PHO1.0_genomic	NW_005811855.1	1960307	1960657	+	0.684
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005782448.1	135625	136049	-	0.651
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395070.1	21014	21395	-	0.690
GCF_000298735.2_Oar_v4.0_genomic	NC_019484.2	58664626	58665024	-	0.686
GCF_001922835.1_NIST_Tur_tru_v1_genomic	NW_017844525.1	765	1140	-	0.630
GCF_000493695.1_BalAcu1.0_genomic	NW_006726032.1	2149185	2149535	+	0.671
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032680.1	8208226	8208599	-	0.978
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495059.1	8129364	8129737	+	0.997
GCF_000765115.1_Oori1_genomic	NW_011944304.1	95145	95543	+	0.683
