hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018338465.1	15020	15226	-	0.797
GCF_000002275.2_Ornithorhynchus_anatinus_5.0.1_genomic	NW_001706106.1	650	851	+	0.709
GCF_000003205.7_Btau_5.0.1_genomic	NC_007301.6	61397887	61398094	+	0.702
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NC_013913.1	45311589	45311797	-	0.791
GCF_000400835.1_PHO1.0_genomic	NW_005813817.1	43091	43299	+	0.775
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344081.1	2648701	2648901	-	0.698
GCF_000981445.1_Bbig001_genomic	NW_012237087.1	1236	1446	+	0.815
GCF_000648675.1_Clec_1.0_genomic	NW_014465016.1	9214254	9214465	+	0.769
GCF_000298735.2_Oar_v4.0_genomic	NC_019484.2	87813924	87814135	+	0.726
GCF_000223135.1_CriGri_1.0_genomic	NW_003635062.1	283	493	+	0.810
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013658170.1	365409	365622	+	0.748
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495027.1	14648368	14648578	-	0.698
GCF_000186305.1_Python_molurus_bivittatus-5.0.2_genomic	NW_006534200.1	165073	165228	+	0.709
GCF_000772875.2_Mmul_8.0.1_genomic	NW_014847331.1	418	627	+	0.815
GCF_001704415.1_ARS1_genomic	NC_030813.1	8764829	8765048	+	0.727
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784782.1	31858	32069	+	0.722
GCF_000002295.2_MonDom5_genomic	NC_008803.1	330045566	330045777	-	0.586
GCF_000298355.1_BosGru_v2.0_genomic	NW_005392910.1	1548890	1549101	+	0.691
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015386594.1	484949	485151	-	0.741
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032652.1	65088073	65088282	+	0.689
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003843659.1	78373	78546	+	0.526
GCF_000765115.1_Oori1_genomic	NW_011943414.1	455509	455707	+	0.786
