hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335779.1	169347	169543	+	0.610
GCF_000003205.7_Btau_5.0.1_genomic	NC_007305.6	538048	538335	+	0.998
GCF_000956105.1_Pcoq_1.0_genomic	NW_012154729.1	5248988	5249180	-	0.573
GCF_001984765.1_C.can_genome_v1.0_genomic	NW_017873487.1	332757	332938	-	0.565
GCF_000317375.1_MicOch1.0_genomic	NC_022009.1	46739706	46739947	-	0.538
GCF_000400835.1_PHO1.0_genomic	NW_005814025.1	207888	208201	-	0.522
GCF_000298735.2_Oar_v4.0_genomic	NC_019462.2	369376	369538	+	0.518
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494722.1	299562	299811	+	0.821
GCF_001194135.1_Octopus_bimaculoides_v2_0_genomic	NW_014704581.1	208309	208570	-	0.709
GCF_001704415.1_ARS1_genomic	NC_030814.1	333019	333186	-	0.653
GCF_000003625.3_OryCun2.0_genomic	NC_013677.1	99581995	99582174	+	0.653
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785905.1	16778072	16778307	+	0.788
GCF_000247815.1_FicAlb1.5_genomic	NW_004776010.1	73320	73495	+	0.731
GCF_000298355.1_BosGru_v2.0_genomic	NW_005394233.1	340095	340336	+	0.820
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032656.1	602637	602924	+	0.997
GCF_000765115.1_Oori1_genomic	NW_011944086.1	185520	185707	+	0.599
