hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018329451.1	103328	103637	-	0.594
GCF_002288925.1_ASM228892v2_genomic	NW_019161016.1	1687802	1688052	+	0.691
GCF_000003205.7_Btau_5.0.1_genomic	NC_007330.6	918948	919281	+	0.981
GCF_001704415.1_ARS1_genomic	NC_030829.1	7459508	7459773	+	0.592
GCF_000622305.1_S.galili_v1.0_genomic	NW_008350120.1	4191684	4191895	+	0.538
GCF_000400835.1_PHO1.0_genomic	NW_005816121.1	1314927	1315232	+	0.626
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785010.1	133214	133598	+	0.815
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393342.1	654165	654489	-	0.922
GCF_000298735.2_Oar_v4.0_genomic	NC_019483.2	42185012	42185297	+	0.679
GCF_000442215.1_Lipotes_vexillifer_v1_genomic	NW_006772344.1	498472	498715	-	0.669
GCF_000987745.1_ASM98774v1_genomic	NW_015964068.1	6039	6366	+	0.702
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032678.1	513740	514070	+	0.990
GCF_000472045.1_Physeter_macrocephalus-2.0.2_genomic	NW_006724398.1	772284	772583	+	0.696
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494928.1	746239	746479	-	0.717
GCF_000765115.1_Oori1_genomic	NW_011942239.1	12203607	12203931	-	0.517
