hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335843.1	460298	460507	-	0.704
GCF_000772875.2_Mmul_8.0.1_genomic	NW_014988935.1	2677	2869	+	0.830
GCF_000001895.5_Rnor_6.0_genomic	NW_007906602.1	1399	1528	-	0.689
GCF_000003205.7_Btau_5.0.1_genomic	NC_007300.6	137338211	137338425	-	0.879
GCF_001704415.1_ARS1_genomic	NC_030826.1	275715	275931	+	0.752
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785812.1	1924905	1925117	+	0.801
GCF_000400835.1_PHO1.0_genomic	NW_005806257.1	20173	20385	-	0.780
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393029.1	1563016	1563228	+	0.838
GCF_000298735.2_Oar_v4.0_genomic	NC_019471.2	102175	102387	+	0.762
GCF_000223135.1_CriGri_1.0_genomic	NW_003637196.1	181	310	-	0.689
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032651.1	863	1076	+	0.940
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011483787.1	6499	6712	+	0.909
GCF_000765115.1_Oori1_genomic	NW_011944382.1	109017	109229	+	0.766
GCF_000209225.1_ASM20922v1_genomic	NW_001825221.1	756	969	+	0.833
