hit_species	chr	start	end	strand	identity
GCF_000409795.2_Chlorocebus_sabeus_1.1_genomic	NC_023644.1	609877	610214	-	0.603
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018342187.1	392352	392683	+	0.732
GCF_000935625.1_ASM93562v1_genomic	NW_017306774.1	1046933	1047252	-	0.722
GCF_000264685.3_Panu_3.0_genomic	NC_018168.2	650320	650657	-	0.598
GCF_000003205.7_Btau_5.0.1_genomic	NC_007326.6	501683	502067	-	0.717
GCF_001604975.1_Cebus_imitator-1.0_genomic	NW_016107460.1	4837992	4838350	-	0.621
GCF_000146795.2_Nleu_3.0_genomic	NC_019824.1	108461618	108461936	-	0.651
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NC_013910.1	20153786	20154100	+	0.731
GCF_001685135.1_ManJav1.0_genomic	NW_016532365.1	320395	320639	-	0.644
GCF_000400835.1_PHO1.0_genomic	NW_005818132.1	84768	85074	+	0.670
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785832.1	1015121	1015489	+	0.735
GCF_000298355.1_BosGru_v2.0_genomic	NW_005396561.1	696	1035	-	0.725
GCF_000951045.1_Mleu.le_1.0_genomic	NW_012102044.1	741645	741982	+	0.584
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011479146.1	18858	19090	-	0.742
