hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	1135596	1136172	+	0.601
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	784	1487	-	0.725
GCF_000419365.1_C_griseus_v1.0_genomic	NW_006883165.1	544639	545319	-	0.568
GCF_000003205.7_Btau_5.0.1_genomic	NC_007329.6	43806904	43807873	-	0.789
GCF_000146795.2_Nleu_3.0_genomic	NC_019833.1	104021809	104022563	+	0.604
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005700595.1	160	1108	+	0.790
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	49926	50654	+	0.600
GCF_000298355.1_BosGru_v2.0_genomic	NW_005400078.1	3614	4608	+	0.795
GCF_000223135.1_CriGri_1.0_genomic	NW_003661711.1	1	568	+	0.643
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	76255569	76256374	+	0.630
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011484590.1	9614	10608	+	0.787
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	302	1316	-	0.743
