hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335509.1	839501	839668	+	0.672
GCF_000003205.7_Btau_5.0.1_genomic	NC_007317.6	61680553	61680744	-	0.680
GCF_000327345.1_ASM32734v1_genomic	NW_006383018.1	2791045	2791245	+	0.586
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NC_013904.1	11561215	11561449	+	0.891
GCF_000400835.1_PHO1.0_genomic	NW_005810411.1	4300095	4300329	+	0.944
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344035.1	8081830	8082066	-	0.713
GCF_000648675.1_Clec_1.0_genomic	NW_014465034.1	5691135	5691373	-	0.762
GCF_000298735.2_Oar_v4.0_genomic	NC_019463.2	80164765	80165011	+	0.755
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013658038.1	411626	411808	+	0.821
GCF_000308155.1_EptFus1.0_genomic	NW_007370678.1	2581043	2581268	-	0.580
GCF_000242695.1_LepOcu1_genomic	NC_023185.1	922509	922699	-	0.702
GCF_000772875.2_Mmul_8.0.1_genomic	NW_014907629.1	110	342	+	0.888
GCF_001888835.1_ASM188883v1_genomic	NW_017739144.1	4217864	4218029	+	0.615
GCF_001704415.1_ARS1_genomic	NC_030813.1	114994296	114994503	+	0.706
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005781562.1	38652	38886	-	0.592
GCF_000002295.2_MonDom5_genomic	NC_008806.1	291465448	291465683	+	0.677
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015398603.1	12069	12305	-	0.869
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032650.1	132047243	132047467	-	0.742
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003831797.1	265109	265350	+	0.689
GCF_000765115.1_Oori1_genomic	NW_011942594.1	1702115	1702354	-	0.832
