hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	1135598	1136173	+	0.628
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	89	935	-	0.678
GCF_000003205.7_Btau_5.0.1_genomic	NC_007330.6	21289857	21290644	-	0.813
GCF_000146795.2_Nleu_3.0_genomic	NC_019833.1	104021908	104022631	+	0.534
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005482900.1	6	725	-	0.678
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	49915	50624	+	0.562
GCF_000298355.1_BosGru_v2.0_genomic	NW_005400078.1	2913	3713	+	0.734
GCF_000298735.2_Oar_v4.0_genomic	NC_019459.2	1298071	1298586	+	0.548
GCF_000223135.1_CriGri_1.0_genomic	NW_003661711.1	1	429	+	0.605
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032675.1	51632598	51633556	-	0.519
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011374315.1	4958	5770	+	0.777
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	561	1385	-	0.705
