hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335398.1	3261316	3261570	+	0.505
GCF_000003205.7_Btau_5.0.1_genomic	NC_007327.6	50073224	50073456	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030830.1	40865514	40865740	+	0.510
GCF_000400835.1_PHO1.0_genomic	NW_005811943.1	254516	254702	+	0.923
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005783360.1	1073360	1073557	-	0.935
GCF_000298355.1_BosGru_v2.0_genomic	NW_005392989.1	141348	141580	+	0.973
GCF_000298735.2_Oar_v4.0_genomic	NC_019479.2	48434651	48434848	+	0.904
GCF_000686985.2_Bra_napus_v2.0_genomic	NC_027771.2	18496531	18496767	+	0.706
GCF_000987745.1_ASM98774v1_genomic	NW_015964068.1	11352	11590	-	0.701
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032675.1	50417397	50417629	+	0.989
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495018.1	29332179	29332410	-	0.933
GCF_000765115.1_Oori1_genomic	NW_011942239.1	12405992	12406189	-	0.907
