hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018334958.1	201387	201595	-	0.692
GCF_000003205.7_Btau_5.0.1_genomic	NC_007319.6	69380771	69380978	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030810.1	101562517	101562654	-	0.680
GCF_000400835.1_PHO1.0_genomic	NW_005809433.1	657686	657830	-	0.674
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785320.1	422356	422551	+	0.671
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393818.1	996566	996772	-	0.677
GCF_000298735.2_Oar_v4.0_genomic	NC_019477.2	47509289	47509426	-	0.651
GCF_001922835.1_NIST_Tur_tru_v1_genomic	NW_017842657.1	2823293	2823473	+	0.660
GCF_000442215.1_Lipotes_vexillifer_v1_genomic	NW_006782062.1	927739	927914	-	0.594
GCF_000686985.2_Bra_napus_v2.0_genomic	NC_027771.2	25647978	25648171	-	0.730
GCF_000987745.1_ASM98774v1_genomic	NW_015965589.1	2254	2435	+	0.722
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032653.1	120718762	120718940	-	0.621
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494785.1	10797797	10798013	+	0.604
GCF_000765115.1_Oori1_genomic	NW_011942274.1	5969218	5969403	+	0.699
