hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	1135589	1136218	+	0.574
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	349	1437	-	0.740
GCF_000003205.7_Btau_5.0.1_genomic	NW_014648289.1	1	977	-	0.813
GCF_000151885.1_Dord_2.0_genomic	NW_012267291.1	6739676	6740466	-	0.507
GCF_000146795.2_Nleu_3.0_genomic	NC_019833.1	104021810	104022812	+	0.574
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005692785.1	225	1245	+	0.753
GCF_000298355.1_BosGru_v2.0_genomic	NW_005405828.1	287	1280	-	0.800
GCF_000223135.1_CriGri_1.0_genomic	NW_003662167.1	1	561	+	0.578
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032675.1	51652887	51654141	-	0.506
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011478828.1	4155	5174	-	0.738
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	224	1276	-	0.730
