hit_species	chr	start	end	strand	identity
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	437	1392	+	0.725
GCF_000003205.7_Btau_5.0.1_genomic	NC_007329.6	2674195	2675168	+	0.921
GCF_000001635.26_GRCm38.p6_genomic	NC_000083.6	69094728	69095500	+	0.501
GCF_000956105.1_Pcoq_1.0_genomic	NW_012143523.1	930486	931358	-	0.550
GCF_000151885.1_Dord_2.0_genomic	NW_012267291.1	874302	875192	+	0.535
GCF_000146795.2_Nleu_3.0_genomic	NC_019833.1	856919	857697	-	0.583
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005482900.1	704	1653	+	0.730
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	381913	382657	-	0.557
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395066.1	5955	6956	-	0.804
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032675.1	223805	224990	+	0.540
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011374315.1	4669	5677	-	0.793
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	205	1212	+	0.725
