hit_species	chr	start	end	strand	identity
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	479	1477	-	0.698
GCF_000003205.7_Btau_5.0.1_genomic	NC_007313.6	78299128	78300127	+	1.000
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005440651.1	59	1060	+	0.732
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	49904	50653	+	0.548
GCF_000298355.1_BosGru_v2.0_genomic	NW_005396670.1	52081	53012	+	0.842
GCF_001698545.1_ASM169854v1_genomic	NW_016815853.1	1359655	1360498	+	0.533
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	76255582	76256372	+	0.645
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	286	1285	-	0.700
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	22184607	22185370	-	0.510
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011482211.1	16129	17174	+	0.946
