hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018337109.1	1022300	1022521	+	0.656
GCF_002163495.1_Omyk_1.0_genomic	NC_035098.1	2972845	2973055	-	0.706
GCF_000264685.3_Panu_3.0_genomic	NC_018159.2	138719261	138719542	-	0.504
GCF_000003205.7_Btau_5.0.1_genomic	NC_007304.6	11052332	11052602	-	0.925
GCF_000956105.1_Pcoq_1.0_genomic	NW_012154715.1	17	270	+	0.545
GCF_000364345.1_Macaca_fascicularis_5.0_genomic	NC_022279.1	145107699	145107974	-	0.531
GCF_000400835.1_PHO1.0_genomic	NW_005818091.1	101369	101644	-	0.826
GCF_000298735.2_Oar_v4.0_genomic	NC_019463.2	1280242	1280513	-	0.826
GCF_000277835.1_GeoFor_1.0_genomic	NW_005054499.1	1104432	1104674	+	0.723
GCF_000764305.1_Hazt_2.0_genomic	NW_017236496.1	26870	27148	+	0.713
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011484017.1	18062	18334	+	0.883
GCF_000409795.2_Chlorocebus_sabeus_1.1_genomic	NC_023649.1	137793088	137793361	-	0.530
GCF_000687225.1_UrsMar_1.0_genomic	NW_007907196.1	1063723	1063999	-	0.532
GCF_000772875.2_Mmul_8.0.1_genomic	NC_027900.1	142710691	142710964	-	0.522
GCF_001704415.1_ARS1_genomic	NC_030813.1	116230575	116230863	+	0.793
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785016.1	99211	99485	+	0.872
GCF_000165445.2_Mmur_3.0_genomic	NC_033672.1	228280	228488	-	0.627
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393578.1	71340	71608	+	0.898
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032655.1	119482113	119482381	+	0.944
GCF_000765115.1_Oori1_genomic	NW_011942335.1	777138	777371	+	0.868
