hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018336565.1	114014	114289	+	0.649
GCF_002288925.1_ASM228892v2_genomic	NW_019160925.1	1326892	1327094	+	0.627
GCF_000003205.7_Btau_5.0.1_genomic	NC_007306.6	88419755	88420023	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030811.1	76924445	76924657	-	0.577
GCF_000400835.1_PHO1.0_genomic	NW_005804914.1	86906	87192	-	0.607
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785285.1	1271989	1272194	+	0.741
GCF_000298355.1_BosGru_v2.0_genomic	NW_005392883.1	602017	602221	+	0.751
GCF_000298735.2_Oar_v4.0_genomic	NC_019460.2	89192117	89192357	-	0.565
GCF_001922835.1_NIST_Tur_tru_v1_genomic	NW_017842657.1	5469541	5469780	-	0.660
GCF_000442215.1_Lipotes_vexillifer_v1_genomic	NW_006778754.1	377399	377652	-	0.639
GCF_000686985.2_Bra_napus_v2.0_genomic	NC_027771.2	18496492	18496689	+	0.744
GCF_000987745.1_ASM98774v1_genomic	NW_015965756.1	2626	2896	-	0.751
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032657.1	90804053	90804321	+	0.981
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494629.1	6822296	6822508	-	0.724
GCF_000765115.1_Oori1_genomic	NW_011942991.1	815612	815869	-	0.858
