hit_species	chr	start	end	strand	identity
GCF_000230535.1_PelSin_1.0_genomic	NW_005855477.1	9911738	9911948	-	0.754
GCF_000146605.2_Turkey_5.0_genomic	NC_015016.2	47152810	47153027	+	0.781
GCF_000691845.1_ASM69184v1_genomic	NW_008608746.1	68597	68816	+	0.787
GCF_000708225.1_ASM70822v1_genomic	NW_008998363.1	123438	123671	-	0.745
GCF_000687285.1_ASM68728v1_genomic	NW_010536948.1	90164	90385	+	0.794
GCF_000317375.1_MicOch1.0_genomic	NC_022029.1	41398847	41399046	+	0.879
GCF_000709365.1_ASM70936v1_genomic	NW_010069566.1	91922	92138	+	0.812
GCF_000699105.1_ASM69910v1_genomic	NW_008824549.1	181919	182148	+	0.758
GCF_001723915.1_GavGan_comp1_genomic	NW_017729006.1	32541749	32541943	-	0.829
GCF_000699005.1_ASM69900v1_genomic	NW_009664987.1	1126917	1127151	-	0.725
GCF_000690835.1_ASM69083v1_genomic	NW_009229998.1	124169	124397	+	0.747
GCF_000695765.1_ASM69576v1_genomic	NW_010206329.1	20993	21203	-	0.840
GCF_001715985.1_ASM171598v1_genomic	NW_017219981.1	599742	599975	+	0.719
GCF_000699085.1_ASM69908v1_genomic	NW_007622244.1	2653057	2653227	-	0.722
GCF_000691405.1_ASM69140v1_genomic	NW_009772181.1	9309	9553	+	0.724
GCF_000238935.1_Melopsittacus_undulatus_6.3_genomic	NW_004848245.1	588183	588406	-	0.769
GCF_000687205.1_ASM68720v1_genomic	NW_009993045.1	26708	26925	-	0.808
GCF_000699245.1_ASM69924v1_genomic	NW_010117402.1	2670	2907	+	0.736
GCF_000705375.1_ASM70537v2_genomic	NW_010583427.1	25165	25380	+	0.802
GCF_000325575.1_ASM32557v1_genomic	NW_006436282.1	8893224	8893428	-	0.918
GCF_001723895.1_CroPor_comp1_genomic	NW_017728886.1	186249047	186249241	-	0.834
GCF_000710305.1_ASM71030v1_genomic	NW_010391239.1	39830	40063	-	0.732
GCF_001604755.1_Lepidothrix_coronata-1.0_genomic	NW_016690183.1	4370804	4371037	+	0.719
GCF_001577835.1_Coturnix_japonica_2.0_genomic	NC_029517.1	79330857	79331086	+	0.739
GCF_000695195.1_ASM69519v1_genomic	NW_010471186.1	74025	74258	+	0.749
GCF_000690715.1_ASM69071v1_genomic	NW_010727008.1	823	971	+	0.840
GCF_002078875.1_NumMel1.0_genomic	NC_034410.1	48741502	48741723	+	0.780
GCF_000708925.1_ASM70892v1_genomic	NW_009122999.1	28792	29019	-	0.764
GCF_000687375.1_ASM68737v1_genomic	NW_009076995.1	7217	7467	-	0.710
GCF_000709325.1_ASM70932v1_genomic	NW_009246467.1	7055505	7055720	+	0.802
GCF_000690875.1_ASM69087v1_genomic	NW_009287782.1	35767	36015	-	0.712
GCF_000455745.1_ASM45574v1_genomic	NW_005841971.1	3185620	3185814	-	0.834
GCF_000299155.1_EleEdw1.0_genomic	NW_006399809.1	17669986	17670188	+	0.854
GCF_000971095.1_AnsCyg_PRJNA183603_v1.0_genomic	NW_013185854.1	1141093	1141313	+	0.784
GCF_000281125.3_ASM28112v4_genomic	NW_017708624.1	23156555	23156749	+	0.834
GCF_000690535.1_ASM69053v1_genomic	NW_009593841.1	111279	111511	+	0.735
GCF_000766835.1_Aquila_chrysaetos-1.0.2_genomic	NW_011951006.1	2044266	2044508	-	0.730
GCF_000698965.1_ASM69896v1_genomic	NW_009271513.1	5844958	5845175	+	0.781
GCF_000708025.1_ASM70802v2_genomic	NW_009647467.1	120868	121095	-	0.742
GCF_900067755.1_pvi1.1_genomic	NW_018151043.1	247988	248136	-	0.708
GCF_000699145.1_ASM69914v1_genomic	NW_008794631.1	2778512	2778742	+	0.763
GCF_000687185.1_ASM68718v1_genomic	NW_009258391.1	121628	121872	+	0.715
GCF_000737465.1_Haliaeetus_leucocephalus-4.0_genomic	NW_010972595.1	2014737	2014977	-	0.736
GCF_000151845.1_Pvam_2.0_genomic	NW_011888856.1	5050938	5051153	-	0.872
GCF_000002315.4_Gallus_gallus-5.0_genomic	NC_006089.4	48761237	48761465	+	0.739
GCF_000692075.1_ASM69207v1_genomic	NW_009903470.1	542641	542870	-	0.749
GCF_000700745.1_ASM70074v1_genomic	NW_010308580.1	22	240	-	0.778
GCF_000695815.1_ASM69581v1_genomic	NW_008683087.1	69013	69247	-	0.712
GCF_001447785.1_Gekko_japonicus_V1.1_genomic	NW_015162475.1	1508570	1508759	+	0.721
GCF_000709895.1_ASM70989v1_genomic	NW_010749210.1	55316	55538	-	0.786
GCF_000355885.1_BGI_duck_1.0_genomic	NW_004676605.1	1534602	1534814	+	0.813
GCF_000690775.1_ASM69077v1_genomic	NW_010248023.1	90186	90406	-	0.806
GCF_000691785.1_ASM69178v1_genomic	NW_009842170.1	34827	35057	-	0.728
GCF_001431845.1_ASM143184v1_genomic	NW_015090914.1	2096814	2097030	-	0.794
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032653.1	67420848	67420990	+	0.993
GCF_000692015.1_ASM69201v2_genomic	NW_008483954.1	492966	493199	+	0.719
GCF_000696875.1_ASM69687v1_genomic	NW_009911454.1	8945	9171	+	0.763
