hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018337287.1	3154873	3155068	+	0.565
GCF_000003205.7_Btau_5.0.1_genomic	NC_007331.5	45602525	45602749	+	0.542
GCF_000400835.1_PHO1.0_genomic	NW_005815156.1	2482128	2482372	+	0.594
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344112.1	6734971	6735168	+	0.547
GCF_001515605.1_SAMN03320099.WGS_v1.1_genomic	NW_015554119.1	2216551	2216739	-	0.725
GCF_000298735.2_Oar_v4.0_genomic	NC_019461.2	19801323	19801549	+	0.533
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013658066.1	492046	492291	+	0.721
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495024.1	1005488	1005702	-	0.593
GCF_001515645.1_SAMN03320097.WGS_v1.1_genomic	NW_015505447.1	199284	199472	+	0.720
GCF_001704415.1_ARS1_genomic	NC_030809.1	51178947	51179200	-	0.599
GCF_001447785.1_Gekko_japonicus_V1.1_genomic	NW_015160296.1	104584	104831	+	0.714
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005454383.1	528	768	-	0.622
GCF_000002295.2_MonDom5_genomic	NC_008803.1	510279596	510279815	+	0.507
GCF_000298355.1_BosGru_v2.0_genomic	NW_005396737.1	14097	14310	-	0.565
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015386417.1	1765797	1766034	-	0.748
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032677.1	35560944	35561160	-	0.590
GCF_000241765.3_Chrysemys_picta_bellii-3.0.3_genomic	NW_007290080.1	268	515	+	0.798
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003817923.1	32123	32321	+	0.529
GCF_000765115.1_Oori1_genomic	NW_011943300.1	405590	405830	+	0.644
