hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018342819.1	696691	696868	-	0.653
GCF_001515625.1_SAMN03320098_v1.1_genomic	NW_015641013.1	16181	16352	-	0.743
GCF_000003205.7_Btau_5.0.1_genomic	NC_007299.6	11889546	11889800	-	0.953
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NW_003195269.1	1104	1296	-	0.751
GCF_000400835.1_PHO1.0_genomic	NW_005805951.1	720469	720635	-	0.623
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018343969.1	14132164	14132344	-	0.688
GCF_001515605.1_SAMN03320099.WGS_v1.1_genomic	NW_015554119.1	110324	110498	+	0.754
GCF_000981445.1_Bbig001_genomic	NW_012237094.1	32	237	-	0.752
GCF_000648675.1_Clec_1.0_genomic	NW_014465038.1	5247981	5248154	-	0.701
GCF_000298735.2_Oar_v4.0_genomic	NC_019458.2	13702210	13702453	-	0.894
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013659830.1	101297	101483	-	0.705
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494609.1	7559043	7559249	+	0.655
GCF_000242695.1_LepOcu1_genomic	NC_023186.1	25247920	25248075	-	0.703
GCF_000772875.2_Mmul_8.0.1_genomic	NW_014966713.1	74	244	-	0.784
GCF_001515645.1_SAMN03320097.WGS_v1.1_genomic	NW_015505447.1	1732630	1732804	-	0.749
GCF_001704415.1_ARS1_genomic	NC_030808.1	14019832	14019998	-	0.626
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784978.1	3834736	3834902	-	0.646
GCF_000002295.2_MonDom5_genomic	NC_008802.1	470320676	470320879	+	0.613
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395544.1	646255	646432	-	0.701
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015386145.1	727599	727811	+	0.712
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032650.1	147721441	147721683	+	0.989
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003831928.1	1881243	1881453	+	0.609
GCF_000765115.1_Oori1_genomic	NW_011942411.1	716481	716728	-	0.909
