hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018343098.1	379128	379386	+	0.827
GCF_000003205.7_Btau_5.0.1_genomic	NC_007300.6	94951107	94951353	+	0.961
GCF_001704415.1_ARS1_genomic	NC_030809.1	94784218	94784386	-	0.626
GCF_000400835.1_PHO1.0_genomic	NW_005815585.1	1950545	1950758	+	0.800
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785102.1	823944	824208	+	0.599
GCF_000298355.1_BosGru_v2.0_genomic	NW_005394927.1	272739	272963	-	0.649
GCF_000298735.2_Oar_v4.0_genomic	NC_019459.2	206920758	206920926	+	0.632
GCF_000686985.2_Bra_napus_v2.0_genomic	NC_027771.2	25647875	25648117	-	0.742
GCF_000987745.1_ASM98774v1_genomic	NW_015965618.1	63	306	-	0.700
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032651.1	99231856	99232101	+	0.998
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495032.1	28382463	28382658	+	0.785
GCF_000765115.1_Oori1_genomic	NW_011942837.1	817082	817250	-	0.632
