hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	1135598	1136212	+	0.619
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015069433.1	392	976	-	0.686
GCF_000003205.7_Btau_5.0.1_genomic	NC_007306.6	75229348	75229954	+	0.764
GCF_000146795.2_Nleu_3.0_genomic	NC_019833.1	104022297	104022836	+	0.580
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005700595.1	319	964	+	0.733
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	49978	50631	+	0.578
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393618.1	1827589	1828342	+	0.767
GCF_000223135.1_CriGri_1.0_genomic	NW_003661711.1	1	570	+	0.600
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	76255754	76256367	+	0.668
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494854.1	1476485	1477060	-	0.721
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	1	702	-	0.723
