hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018341575.1	904723	905030	-	0.599
GCF_000003205.7_Btau_5.0.1_genomic	NC_007328.5	41016393	41016611	-	0.669
GCF_001704415.1_ARS1_genomic	NC_030809.1	20711400	20711599	-	0.655
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NW_003195537.1	3794	3986	-	0.710
GCF_000400835.1_PHO1.0_genomic	NW_005812228.1	564188	564371	+	0.576
GCF_000981445.1_Bbig001_genomic	NW_012237382.1	1398	1593	-	0.712
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395765.1	377060	377260	+	0.681
GCF_000298735.2_Oar_v4.0_genomic	NC_019460.2	212527417	212527619	-	0.717
GCF_000001545.4_P_pygmaeus_2.0.2_genomic	NW_002986906.1	4	222	-	0.680
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032661.1	3807902	3808114	-	0.709
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494908.1	221936	222154	-	0.603
GCF_000765115.1_Oori1_genomic	NW_011942796.1	1410468	1410670	-	0.717
