hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018328484.1	1039767	1039978	-	0.838
GCF_000003205.7_Btau_5.0.1_genomic	NC_007311.6	82567642	82567855	+	0.999
GCF_001704415.1_ARS1_genomic	NC_030811.1	23435458	23435666	-	0.590
GCF_000400835.1_PHO1.0_genomic	NW_005806056.1	479709	479899	-	0.615
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785105.1	196673	196886	+	0.936
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393384.1	583981	584195	+	0.957
GCF_000298735.2_Oar_v4.0_genomic	NC_019470.2	80957632	80957846	+	0.893
GCF_000686985.2_Bra_napus_v2.0_genomic	NC_027771.2	18496611	18496767	+	0.764
GCF_000987745.1_ASM98774v1_genomic	NW_015964068.1	11391	11597	-	0.739
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032662.1	82621588	82621801	+	0.988
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494715.1	8640289	8640503	+	0.961
GCF_000765115.1_Oori1_genomic	NW_011942353.1	3818546	3818760	+	0.895
