hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018334937.1	156217	156704	-	0.655
GCF_000500345.1_Pman_1.0_genomic	NW_006501309.1	2182886	2183390	+	0.558
GCF_000001895.5_Rnor_6.0_genomic	NC_005100.4	120409396	120409901	-	0.583
GCF_000003205.7_Btau_5.0.1_genomic	NC_007299.6	113044073	113044559	+	0.999
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785781.1	1505426	1505873	-	0.915
GCF_000317375.1_MicOch1.0_genomic	NC_022021.1	55623469	55623991	-	0.540
GCF_900094665.1_CAROLI_EIJ_v1.1_genomic	NC_034574.1	46135566	46136069	-	0.584
GCF_000002265.2_Rn_Celera_genomic	AC_000069.1	106313591	106314096	-	0.583
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393773.1	643294	643804	+	0.863
GCF_000412655.1_ASM41265v1_genomic	NW_005354993.1	76657	77141	-	0.570
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032650.1	113955890	113956376	+	0.998
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494779.1	251992	252479	+	0.884
GCF_000233375.1_ICSASG_v2_genomic	NC_027317.1	57040047	57040462	-	0.705
