hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018331929.1	442695	442891	+	0.650
GCF_000003205.7_Btau_5.0.1_genomic	NC_007320.6	21531958	21532125	-	0.600
GCF_001704415.1_ARS1_genomic	NW_017190085.1	47424	47596	-	0.608
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NW_003195537.1	17	226	+	0.668
GCF_000400835.1_PHO1.0_genomic	NW_005805100.1	114344	114468	-	0.630
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784739.1	296355	296475	+	0.717
GCF_000981445.1_Bbig001_genomic	NW_012237382.1	1274	1496	+	0.710
GCF_000298355.1_BosGru_v2.0_genomic	NW_005394305.1	267900	268092	+	0.695
GCF_000298735.2_Oar_v4.0_genomic	NC_019464.2	49458580	49458739	-	0.624
GCF_000001545.4_P_pygmaeus_2.0.2_genomic	NW_002986906.1	3558	3747	+	0.709
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032680.1	39084467	39084634	+	0.593
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495059.1	337295	337462	-	0.602
GCF_000765115.1_Oori1_genomic	NW_011943106.1	210922	211104	-	0.653
