hit_species	chr	start	end	strand	identity
GCF_000001895.5_Rnor_6.0_genomic	NC_005111.4	6453872	6454239	-	0.683
GCF_000003205.7_Btau_5.0.1_genomic	NC_007307.6	104823466	104823846	+	1.000
GCF_000952055.2_Anan_2.0_genomic	NW_018501440.1	13193	13526	+	0.621
GCF_000181295.1_OtoGar3_genomic	NW_003852469.1	3158113	3158456	+	0.622
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785002.1	785232	785587	+	0.891
GCF_000400835.1_PHO1.0_genomic	NW_005810873.1	119363	119621	-	0.878
GCF_000292845.1_OchPri3.0_genomic	NW_004535437.1	71941924	71942232	-	0.554
GCF_000457365.1_ASM45736v1_genomic	NW_013430505.1	77834	78225	-	0.700
GCF_000298355.1_BosGru_v2.0_genomic	NW_005394621.1	132402	132729	+	0.889
GCF_000002265.2_Rn_Celera_genomic	AC_000080.1	6026267	6026634	-	0.683
GCF_000181275.1_SorAra2.0_genomic	NW_004545928.1	6593117	6593353	+	0.651
GCF_000151735.1_Cavpor3.0_genomic	NT_176381.1	17930809	17931149	-	0.648
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032658.1	106623746	106624126	+	0.999
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494526.1	162809	163137	+	0.899
