hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	1135609	1136166	+	0.627
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	442	1063	-	0.609
GCF_000419365.1_C_griseus_v1.0_genomic	NW_006882915.1	34671	35274	+	0.599
GCF_000003205.7_Btau_5.0.1_genomic	NW_014649584.1	6786	7421	-	0.929
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005782950.1	1559	2211	+	0.684
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393065.1	236291	236946	+	0.688
GCF_000223135.1_CriGri_1.0_genomic	NW_003617353.1	36502	36971	+	0.529
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	76255814	76256372	+	0.655
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011482922.1	10993	11654	+	0.678
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	8	586	-	0.704
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	22184828	22185404	-	0.502
