hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018336565.1	1155117	1155317	-	0.646
GCF_900095145.1_PAHARI_EIJ_v1.1_genomic	NC_034600.1	23072734	23072856	+	0.555
GCF_000003205.7_Btau_5.0.1_genomic	NC_007303.6	38663067	38663266	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030812.1	37887638	37887877	+	0.779
GCF_000400835.1_PHO1.0_genomic	NW_005815261.1	672290	672486	-	0.894
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784844.1	835965	836165	+	0.958
GCF_000002265.2_Rn_Celera_genomic	AC_000071.1	77169686	77169861	-	0.574
GCF_000208655.1_Dasnov3.0_genomic	NW_004477378.1	84370	84494	+	0.561
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393804.1	1554457	1554653	+	0.973
GCF_000298735.2_Oar_v4.0_genomic	NC_019460.2	144262306	144262512	+	0.879
GCF_000987745.1_ASM98774v1_genomic	NW_015965756.1	3655	3851	+	0.711
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032654.1	41650996	41651195	+	0.998
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495031.1	2445560	2445759	+	0.996
GCF_000765115.1_Oori1_genomic	NW_011942433.1	1218130	1218336	+	0.878
