hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	269048	269241	-	0.587
GCF_000003205.7_Btau_5.0.1_genomic	NC_007316.6	43954787	43955076	+	0.988
GCF_900094665.1_CAROLI_EIJ_v1.1_genomic	NC_034587.1	79376078	79376357	+	0.503
GCF_000002265.2_Rn_Celera_genomic	AC_000069.1	167098794	167098990	+	0.557
GCF_000260255.1_OctDeg1.0_genomic	NW_004524729.1	3532828	3533030	-	0.504
GCF_000001905.1_Loxafr3.0_genomic	NW_003573428.1	1152254	1152449	-	0.576
GCF_000223135.1_CriGri_1.0_genomic	NW_003662167.1	313	564	-	0.630
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494824.1	4304622	4304939	-	0.743
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	2167603	2167792	+	0.516
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	421	606	+	0.640
GCF_000001895.5_Rnor_6.0_genomic	NC_005100.4	184572994	184573190	+	0.557
GCF_000419365.1_C_griseus_v1.0_genomic	NW_006882915.1	745234	745428	-	0.589
GCF_000952055.2_Anan_2.0_genomic	NW_018503925.1	27234034	27234316	+	0.525
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005782950.1	165971	166275	-	0.728
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	382372	382631	-	0.518
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393065.1	3855	4040	-	0.839
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	34000878	34001060	-	0.614
GCF_000002335.3_Tcas5.2_genomic	NW_015450579.1	56	347	-	0.700
