hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018336655.1	103343	103586	-	0.905
GCF_000003205.7_Btau_5.0.1_genomic	NC_007324.6	10859989	10860242	+	0.998
GCF_001704415.1_ARS1_genomic	NC_030830.1	10972580	10972806	-	0.868
GCF_000400835.1_PHO1.0_genomic	NW_005810697.1	553529	553757	+	0.871
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784292.1	4002459	4002703	+	0.960
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395582.1	222830	223074	+	0.984
GCF_000298735.2_Oar_v4.0_genomic	NC_019460.2	155579520	155579770	+	0.522
GCF_000442215.1_Lipotes_vexillifer_v1_genomic	NW_006790302.1	396997	397181	-	0.594
GCF_000987745.1_ASM98774v1_genomic	NW_015965618.1	38	291	-	0.723
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032672.1	11183175	11183428	+	0.996
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494842.1	8959919	8960163	+	0.986
GCF_000765115.1_Oori1_genomic	NW_011942248.1	4351994	4352220	-	0.866
