hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018336088.1	68533	68760	-	0.741
GCF_001515625.1_SAMN03320098_v1.1_genomic	NW_015641013.1	178331	178534	+	0.734
GCF_000003205.7_Btau_5.0.1_genomic	NC_007310.6	31163870	31164115	+	1.000
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NC_013913.1	45311130	45311322	-	0.787
GCF_000400835.1_PHO1.0_genomic	NW_005805960.1	610190	610392	-	0.763
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344090.1	5504340	5504596	+	0.632
GCF_001515605.1_SAMN03320099.WGS_v1.1_genomic	NW_015554119.1	2214977	2215183	-	0.763
GCF_000981445.1_Bbig001_genomic	NW_012237094.1	1800	2008	+	0.751
GCF_000648675.1_Clec_1.0_genomic	NW_014465038.1	8588190	8588395	+	0.705
GCF_000298735.2_Oar_v4.0_genomic	NC_019467.2	31252013	31252255	+	0.916
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013658938.1	242754	242979	-	0.747
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494628.1	4865889	4866134	-	0.977
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015048811.1	122	354	-	0.745
GCF_001515645.1_SAMN03320097.WGS_v1.1_genomic	NW_015505447.1	197879	198085	+	0.749
GCF_001704415.1_ARS1_genomic	NC_030819.1	31609496	31609738	-	0.924
GCF_001447785.1_Gekko_japonicus_V1.1_genomic	NW_015163167.1	11457	11659	+	0.773
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785899.1	3586714	3586927	+	0.799
GCF_000002295.2_MonDom5_genomic	NC_008802.1	280675361	280675603	-	0.620
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395197.1	26504	26720	-	0.779
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015386393.1	2184865	2185103	-	0.728
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032661.1	31017208	31017453	+	0.990
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003823309.1	3337451	3337690	-	0.600
GCF_000765115.1_Oori1_genomic	NW_011942497.1	1578897	1579139	-	0.916
