hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018336565.1	114583	114853	+	0.649
GCF_000003205.7_Btau_5.0.1_genomic	NC_007306.6	88420312	88420588	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030811.1	76924883	76925089	-	0.577
GCF_000400835.1_PHO1.0_genomic	NW_005804914.1	87498	87793	-	0.607
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785285.1	1272412	1272622	+	0.741
GCF_000298355.1_BosGru_v2.0_genomic	NW_005392883.1	602440	602650	+	0.751
GCF_000298735.2_Oar_v4.0_genomic	NC_019460.2	89192614	89192846	-	0.565
GCF_000331955.2_Oorc_1.1_genomic	NW_004438608.1	1148050	1148257	+	0.598
GCF_001922835.1_NIST_Tur_tru_v1_genomic	NW_017844198.1	18115358	18115565	+	0.601
GCF_000987745.1_ASM98774v1_genomic	NW_015965756.1	2742	2990	-	0.721
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032657.1	90804610	90804886	+	0.981
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494629.1	6822736	6822955	-	0.724
GCF_000765115.1_Oori1_genomic	NW_011942409.1	2998621	2998781	+	0.569
