hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018331372.1	3096638	3096874	+	0.771
GCF_000003205.7_Btau_5.0.1_genomic	NW_014647426.1	846	1058	+	0.994
GCF_000400835.1_PHO1.0_genomic	NW_005810110.1	19559	19817	+	0.773
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344161.1	3136292	3136498	-	0.537
GCF_000648675.1_Clec_1.0_genomic	NW_014465056.1	4019924	4020117	-	0.804
GCF_000298735.2_Oar_v4.0_genomic	NC_019484.2	36621706	36621965	-	0.770
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013658424.1	183344	183537	+	0.809
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011452388.1	321	514	-	0.794
GCF_000186305.1_Python_molurus_bivittatus-5.0.2_genomic	NW_006532084.1	328300	328492	-	0.782
GCF_000242695.1_LepOcu1_genomic	NC_023179.1	66654165	66654357	+	0.705
GCF_001704415.1_ARS1_genomic	NW_017212738.1	33378	33635	-	0.771
GCF_001447785.1_Gekko_japonicus_V1.1_genomic	NW_015175362.1	44704	44915	+	0.771
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784428.1	227836	228042	-	0.946
GCF_000002295.2_MonDom5_genomic	NC_008801.1	493144635	493144866	+	0.536
GCF_000298355.1_BosGru_v2.0_genomic	NW_005397108.1	4287	4496	-	0.923
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015388031.1	52363	52557	-	0.810
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032667.1	49868338	49868531	+	0.881
GCF_000241765.3_Chrysemys_picta_bellii-3.0.3_genomic	NW_007290080.1	104	297	-	0.933
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003816660.1	276525	276711	-	0.536
GCF_000765115.1_Oori1_genomic	NW_011943998.1	115426	115685	-	0.771
GCF_000951615.1_common_carp_genome_genomic	NW_017539629.1	22265	22458	-	0.805
