hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335299.1	847066	847309	-	0.877
GCF_002288925.1_ASM228892v2_genomic	NW_019161016.1	1687764	1687993	+	0.674
GCF_000500345.1_Pman_1.0_genomic	NW_006501188.1	198831	199084	+	0.526
GCF_000003205.7_Btau_5.0.1_genomic	NC_007315.6	54215257	54215521	+	1.000
GCF_000321225.1_Oros_1.0_genomic	NW_004450315.1	557454	557638	-	0.650
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NC_013909.1	10199552	10199736	-	0.607
GCF_000400835.1_PHO1.0_genomic	NW_005804851.1	1187324	1187542	-	0.921
GCF_002201575.1_ASM220157v1_genomic	NW_018734259.1	587375	587573	-	0.637
GCF_000298735.2_Oar_v4.0_genomic	NC_019474.2	51365956	51366173	+	0.934
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494732.1	5000970	5001215	+	0.943
GCF_001704415.1_ARS1_genomic	NC_030824.1	51733140	51733357	-	0.927
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784749.1	590118	590347	+	0.929
GCF_000298355.1_BosGru_v2.0_genomic	NW_005394917.1	359039	359284	+	0.943
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032666.1	54476833	54477097	+	0.994
GCF_000987745.1_ASM98774v1_genomic	NW_015964068.1	6039	6270	+	0.718
GCF_000765115.1_Oori1_genomic	NW_011942284.1	5822375	5822592	+	0.934
