hit_species	chr	start	end	strand	identity
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	4	1022	+	0.681
GCF_000419365.1_C_griseus_v1.0_genomic	NW_006882915.1	745529	746497	-	0.650
GCF_000003205.7_Btau_5.0.1_genomic	NC_007331.5	104512160	104513202	+	0.832
GCF_000151885.1_Dord_2.0_genomic	NW_012267291.1	873689	874679	+	0.531
GCF_000146795.2_Nleu_3.0_genomic	NC_019833.1	856732	857717	-	0.572
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005692785.1	63	1066	-	0.751
GCF_000298355.1_BosGru_v2.0_genomic	NW_005405828.1	538	1537	+	0.796
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	34000262	34001071	-	0.594
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011478828.1	3952	4906	+	0.787
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	381	1391	+	0.762
