hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018338854.1	687351	687595	-	0.509
GCF_002288925.1_ASM228892v2_genomic	NW_019161055.1	285529	285806	-	0.502
GCF_000500345.1_Pman_1.0_genomic	NW_006501672.1	949656	949829	-	0.543
GCF_000003205.7_Btau_5.0.1_genomic	NC_007313.6	67574618	67574856	+	0.999
GCF_001704415.1_ARS1_genomic	NC_030822.1	65423095	65423290	-	0.715
GCF_000400835.1_PHO1.0_genomic	NW_005816935.1	6675016	6675223	+	0.917
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785048.1	2405106	2405326	-	0.841
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393224.1	4646766	4647016	+	0.904
GCF_000298735.2_Oar_v4.0_genomic	NC_019472.2	64546185	64546419	+	0.846
GCF_000442215.1_Lipotes_vexillifer_v1_genomic	NW_006790302.1	396994	397187	-	0.662
GCF_000987745.1_ASM98774v1_genomic	NW_015965756.1	3642	3891	+	0.705
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032664.1	66307815	66308053	+	0.996
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011495081.1	10135332	10135561	+	0.900
GCF_000765115.1_Oori1_genomic	NW_011942393.1	2686407	2686613	-	0.917
