hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018336427.1	85773	85984	+	0.893
GCF_000003205.7_Btau_5.0.1_genomic	NC_007310.6	4266684	4266891	+	1.000
GCF_001890085.1_ASM189008v1_genomic	NW_017731360.1	1159321	1159508	+	0.553
GCF_000400835.1_PHO1.0_genomic	NW_005814174.1	1017059	1017270	+	0.892
GCF_000298735.2_Oar_v4.0_genomic	NC_019467.2	4595755	4595979	+	0.867
GCF_000331955.2_Oorc_1.1_genomic	NW_004438456.1	6073076	6073252	-	0.573
GCF_001922835.1_NIST_Tur_tru_v1_genomic	NW_017842657.1	2823291	2823460	+	0.712
GCF_000442215.1_Lipotes_vexillifer_v1_genomic	NW_006783488.1	320732	320943	-	0.607
GCF_000686985.2_Bra_napus_v2.0_genomic	NC_027771.2	25647987	25648148	-	0.761
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494021.1	45827	46034	-	0.986
GCF_001704415.1_ARS1_genomic	NC_030819.1	5080058	5080271	-	0.912
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785020.1	839617	839825	-	0.957
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393587.1	895527	895734	-	0.980
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032661.1	2448136	2448343	+	0.996
GCF_000987745.1_ASM98774v1_genomic	NW_015965589.1	2252	2451	+	0.741
GCF_000765115.1_Oori1_genomic	NW_011945088.1	3585	3799	-	0.904
