hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	268873	269512	-	0.594
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	323	1327	+	0.651
GCF_000003205.7_Btau_5.0.1_genomic	NC_007314.5	29526	30537	+	0.769
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005782950.1	163445	164442	-	0.723
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	381879	382646	-	0.560
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393187.1	4771	5717	-	0.813
GCF_000298735.2_Oar_v4.0_genomic	NC_019466.2	613802	614382	-	0.502
GCF_000223135.1_CriGri_1.0_genomic	NW_003662167.1	3	564	-	0.579
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	34000261	34001047	-	0.684
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011482922.1	18943	19996	-	0.719
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	803	1408	+	0.700
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	2166986	2167792	+	0.505
