hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018336165.1	36311	36536	-	0.783
GCF_001515625.1_SAMN03320098_v1.1_genomic	NW_015641013.1	178331	178561	+	0.709
GCF_000003205.7_Btau_5.0.1_genomic	NC_007304.6	56691267	56691493	-	0.737
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NC_013913.1	45311130	45311349	-	0.804
GCF_000400835.1_PHO1.0_genomic	NW_005812772.1	334940	335170	+	0.728
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344122.1	5256282	5256509	+	0.711
GCF_001515605.1_SAMN03320099.WGS_v1.1_genomic	NW_015554119.1	2214977	2215207	-	0.727
GCF_000981445.1_Bbig001_genomic	NW_012237382.1	1539	1761	+	0.827
GCF_000648675.1_Clec_1.0_genomic	NW_014465130.1	463180	463411	-	0.863
GCF_000298735.2_Oar_v4.0_genomic	NC_019464.2	95616840	95617070	+	0.746
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013660564.1	32023	32253	+	0.841
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494849.1	158407	158629	+	0.781
GCF_000186305.1_Python_molurus_bivittatus-5.0.2_genomic	NW_006540484.1	13368	13559	-	0.719
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015048811.1	158	381	-	0.819
GCF_001515645.1_SAMN03320097.WGS_v1.1_genomic	NW_015505447.1	197879	198109	+	0.723
GCF_001704415.1_ARS1_genomic	NC_030818.1	53147914	53148136	+	0.750
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784947.1	499580	499807	-	0.794
GCF_000002295.2_MonDom5_genomic	NC_008802.1	281856932	281857148	+	0.694
GCF_000298355.1_BosGru_v2.0_genomic	NW_005394548.1	635274	635501	-	0.808
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015388703.1	48477	48706	-	0.739
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032680.1	7336763	7336995	+	0.908
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003843631.1	1523685	1523915	+	0.694
GCF_000765115.1_Oori1_genomic	NW_011943031.1	651285	651515	-	0.750
