hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018336483.1	48354	48591	+	0.587
GCF_000002275.2_Ornithorhynchus_anatinus_5.0.1_genomic	NW_001706106.1	469	672	-	0.596
GCF_000004195.3_Xenopus_tropicalis_v9.1_genomic	NC_030680.1	99619781	99619950	+	0.733
GCF_000003205.7_Btau_5.0.1_genomic	NC_007312.6	83852015	83852233	+	0.899
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NC_013913.1	2137001	2137234	+	0.590
GCF_000400835.1_PHO1.0_genomic	NW_005812217.1	3087771	3088005	+	0.606
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344093.1	3725595	3725830	+	0.560
GCF_000648675.1_Clec_1.0_genomic	NW_014465028.1	7055760	7055963	-	0.727
GCF_000298735.2_Oar_v4.0_genomic	NW_014639794.1	8724	8952	-	0.540
GCF_000223135.1_CriGri_1.0_genomic	NW_003635062.1	795	1033	-	0.612
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013660157.1	100938	101100	+	0.726
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011492754.1	22672	22907	+	0.599
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015048811.1	223	448	+	0.582
GCF_000242695.1_LepOcu1_genomic	NC_023182.1	6712635	6712842	+	0.708
GCF_001704415.1_ARS1_genomic	NC_030827.1	17382239	17382493	-	0.563
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785640.1	940263	940490	-	0.634
GCF_000002295.2_MonDom5_genomic	NC_008807.1	130124236	130124467	-	0.578
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395092.1	670644	670879	+	0.602
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015386431.1	869547	869774	-	0.732
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003831556.1	863977	864203	-	0.540
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032663.1	80215560	80215788	+	0.990
GCF_000765115.1_Oori1_genomic	NW_011943323.1	248167	248395	-	0.538
