hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	1135603	1136218	+	0.622
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	789	1478	-	0.664
GCF_000003205.7_Btau_5.0.1_genomic	NC_007316.6	22409862	22410559	-	1.000
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005781644.1	490	1180	-	0.697
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393065.1	244178	244887	+	0.724
GCF_000223135.1_CriGri_1.0_genomic	NW_003661711.1	13	566	+	0.583
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032660.1	76255755	76256364	+	0.639
GCF_000002335.3_Tcas5.2_genomic	NW_015451299.1	5	719	-	0.707
GCF_000243295.1_TriManLat1.0_genomic	NW_004443960.1	22184703	22185210	-	0.568
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011472019.1	673	1329	+	0.921
