hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335621.1	1135572	1136035	+	0.504
GCF_000772875.2_Mmul_8.0.1_genomic	NW_015067019.1	806	1297	-	0.647
GCF_000003205.7_Btau_5.0.1_genomic	NC_007309.6	78636	79117	+	0.889
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005482900.1	715	1218	-	0.714
GCF_000400835.1_PHO1.0_genomic	NW_005810960.1	431532	431947	+	0.508
GCF_000003625.3_OryCun2.0_genomic	NW_003159828.1	69341	69717	-	0.567
GCF_000317375.1_MicOch1.0_genomic	NC_022035.1	3020170	3020444	+	0.527
GCF_000208655.1_Dasnov3.0_genomic	NW_004494195.1	50016	50492	+	0.507
GCF_000298355.1_BosGru_v2.0_genomic	NW_005394424.1	335368	335864	+	0.761
GCF_000223135.1_CriGri_1.0_genomic	NW_003661711.1	217	570	+	0.605
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032675.1	51654555	51655151	-	0.505
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011472006.1	934	1439	-	0.741
GCF_000002335.3_Tcas5.2_genomic	NW_015450579.1	1	489	+	0.716
