hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018333184.1	635317	635587	-	0.667
GCF_000003205.7_Btau_5.0.1_genomic	NC_007331.5	148232957	148233173	+	1.000
GCF_001704415.1_ARS1_genomic	NC_030833.1	17851323	17851549	+	0.664
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NW_003195537.1	3791	3990	-	0.696
GCF_000400835.1_PHO1.0_genomic	NW_005818577.1	363786	363933	+	0.585
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784635.1	118372	118594	+	0.899
GCF_000981445.1_Bbig001_genomic	NW_012237382.1	1423	1596	-	0.734
GCF_000298355.1_BosGru_v2.0_genomic	NW_005394227.1	42804	43033	-	0.916
GCF_000298735.2_Oar_v4.0_genomic	NC_019484.2	130696161	130696337	-	0.684
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032679.1	86932969	86933185	+	1.000
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011493602.1	68198	68400	+	0.928
GCF_000765115.1_Oori1_genomic	NW_011942337.1	2273125	2273301	+	0.684
