hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335843.1	1815924	1816154	+	0.692
GCF_000772875.2_Mmul_8.0.1_genomic	NW_014988935.1	1288	1502	-	0.665
GCF_000281125.3_ASM28112v4_genomic	NW_017713444.1	115	337	-	0.853
GCF_000003205.7_Btau_5.0.1_genomic	NC_007300.6	137373654	137373875	-	0.911
GCF_001704415.1_ARS1_genomic	NC_030826.1	62240422	62240639	-	0.724
GCF_000400835.1_PHO1.0_genomic	NW_005812443.1	222	430	-	0.845
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785812.1	2256216	2256438	+	0.871
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395305.1	163747	163971	-	0.887
GCF_000298735.2_Oar_v4.0_genomic	NC_019460.2	117466601	117466816	-	0.744
GCF_000223135.1_CriGri_1.0_genomic	NW_003637196.1	732	954	+	0.525
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032651.1	140671596	140671819	-	0.934
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011425097.1	384	606	+	0.754
GCF_000765115.1_Oori1_genomic	NW_011945069.1	13174	13378	-	0.856
