hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018331418.1	65836	66026	+	0.739
GCF_000003205.7_Btau_5.0.1_genomic	NC_007304.6	11281327	11281541	-	0.998
GCF_001704415.1_ARS1_genomic	NC_030813.1	116467021	116467226	+	0.808
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NC_013911.1	63229288	63229442	-	0.689
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005785599.1	178503	178719	-	0.930
GCF_000400835.1_PHO1.0_genomic	NW_005818091.1	344751	344954	-	0.643
GCF_000002295.2_MonDom5_genomic	NC_008801.1	747485141	747485345	-	0.548
GCF_000981445.1_Bbig001_genomic	NW_012237382.1	735	953	+	0.717
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393578.1	302985	303186	+	0.870
GCF_000298735.2_Oar_v4.0_genomic	NC_019463.2	1518035	1518240	-	0.786
GCF_000001545.4_P_pygmaeus_2.0.2_genomic	NW_002986906.1	9	206	-	0.693
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032655.1	119768744	119768958	+	0.998
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011476204.1	22868	23101	+	0.896
GCF_000765115.1_Oori1_genomic	NW_011942335.1	1020286	1020493	+	0.816
