hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018342320.1	38666	38882	-	0.705
GCF_000003205.7_Btau_5.0.1_genomic	NC_007310.6	35157961	35158167	-	0.758
GCF_000400835.1_PHO1.0_genomic	NW_005816904.1	1831271	1831480	+	0.713
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344196.1	1670427	1670700	+	0.628
GCF_000981445.1_Bbig001_genomic	NW_012237087.1	1930	2151	-	0.752
GCF_000298735.2_Oar_v4.0_genomic	NW_014640221.1	675	888	-	0.750
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013661860.1	3805	4006	+	0.743
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494864.1	765324	765551	+	0.729
GCF_000186305.1_Python_molurus_bivittatus-5.0.2_genomic	NW_006534631.1	21188	21411	+	0.736
GCF_001704415.1_ARS1_genomic	NC_030808.1	154977170	154977435	+	0.713
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784331.1	152699	152900	-	0.746
GCF_000002295.2_MonDom5_genomic	NC_008805.1	257880614	257880867	-	0.640
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395342.1	841571	841777	+	0.749
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015388395.1	168281	168508	-	0.707
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032668.1	65052255	65052525	-	0.697
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003843715.1	647212	647490	-	0.565
GCF_000765115.1_Oori1_genomic	NW_011942691.1	158505	158748	-	0.688
