hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018335345.1	30330	30552	-	0.595
GCF_000003205.7_Btau_5.0.1_genomic	NC_007330.6	51060664	51060897	+	1.000
GCF_000004665.1_Callithrix_jacchus-3.2_genomic	NC_013913.1	2137456	2137630	+	0.743
GCF_000400835.1_PHO1.0_genomic	NW_005816780.1	50189	50391	-	0.877
GCF_002099425.1_phaCin_unsw_v4.1_genomic	NW_018344081.1	4700631	4700827	+	0.545
GCF_001515605.1_SAMN03320099.WGS_v1.1_genomic	NW_015554119.1	110299	110511	+	0.704
GCF_000981445.1_Bbig001_genomic	NW_012237094.1	21	212	-	0.745
GCF_000298735.2_Oar_v4.0_genomic	NC_019478.2	49074510	49074713	+	0.817
GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic	NW_013658508.1	175286	175501	-	0.708
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011494652.1	118437	118640	+	0.977
GCF_000772875.2_Mmul_8.0.1_genomic	NC_027903.1	10571331	10571533	+	0.684
GCF_001704415.1_ARS1_genomic	NC_030818.1	101924670	101924900	-	0.606
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005784374.1	1119676	1119891	+	0.882
GCF_000002295.2_MonDom5_genomic	NC_008805.1	268525726	268525950	+	0.642
GCF_000298355.1_BosGru_v2.0_genomic	NW_005393636.1	73654	73857	+	0.975
GCF_001527695.2_P.Mucros_1.0_genomic	NW_015389105.1	86857	87081	-	0.706
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032678.1	51903130	51903363	+	0.993
GCF_000189315.1_Devil_ref_v7.0_genomic	NW_003823433.1	689228	689462	-	0.555
GCF_000765115.1_Oori1_genomic	NW_011943508.1	62121	62324	+	0.819
