hit_species	chr	start	end	strand	identity
GCF_002102435.1_Ovir.te_1.0_genomic	NW_018340553.1	112458	112674	-	0.675
GCF_000772875.2_Mmul_8.0.1_genomic	NW_014988935.1	822	1029	+	0.692
GCF_000281125.3_ASM28112v4_genomic	NW_017712793.1	394	607	-	0.722
GCF_000003205.7_Btau_5.0.1_genomic	NC_007313.6	7286080	7286292	-	1.000
GCF_001704415.1_ARS1_genomic	NC_030826.1	274458	274664	+	0.777
GCF_000499385.1_ENH001_genomic	NW_013653806.1	572	783	+	0.735
GCF_000400835.1_PHO1.0_genomic	NW_005812761.1	307640	307846	+	0.759
GCF_000471725.1_UMD_CASPUR_WB_2.0_genomic	NW_005776642.1	4786	4977	+	0.686
GCF_000298355.1_BosGru_v2.0_genomic	NW_005395818.1	29299	29511	-	0.990
GCF_000298735.2_Oar_v4.0_genomic	NC_019460.2	106503798	106504010	+	0.700
GCF_000223135.1_CriGri_1.0_genomic	NW_003637196.1	613	820	-	0.687
GCF_000247795.1_Bos_indicus_1.0_genomic	NC_032651.1	57745	57958	+	0.834
GCF_000754665.1_Bison_UMD1.0_genomic	NW_011493453.1	13934	14146	+	0.989
GCF_000765115.1_Oori1_genomic	NW_011943430.1	92305	92517	-	0.700
